Марка;Серийный№;ДатаИзготовления;Объект;ДатаПрихода;ДатаУхода;Отправитель;Получатель
ППТ-35;S/N:29-33-9-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-9-9.11;08-сен-11;ст. пп683, пп668, Манчем, Выйский,Юность-Комсомоль;;24.09.2014;;
ППТ-35;S/N:29-33-10-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-10-9.11;08-сен-11;ст. метро пр.Космонавтов;;06.09.2013;;
ППТ-35;S/N:29-33-10-9.11;08-сен-11;свердл. Метрополитен;28.05.2014;28.05.2014;Игнатьев А. В.;Поздеев О.Е.
ППТ-35;S/N:29-33-10-9.11;08-сен-11;ст. Аремзянка;;26.05.2014;;
ППТ-35;S/N:29-33-11-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-11-9.11;08-сен-11;ст. пп683, пп668, Манчем, Выйский,Юность-Комсомоль;;24.09.2014;;
ППТ-35;S/N:29-33-12-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-12-9.11;08-сен-11;ст. метро пр.Космонавтов;;06.09.2013;;
ППТ-35;S/N:29-33-13-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-13-9.11;08-сен-11;ст. пп683, пп668, Манчем, Выйский,Юность-Комсомоль;;24.09.2014;;
ППТ-35;S/N:29-33-14-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-15-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
ППТ-35;S/N:29-33-16-9.11;08-сен-11;;08.09.2011;08.09.2011;Поздеев О.Е.;
